"","INSTNM","CITY","STABBR","ZIP","CONTROL","ADM_RATE","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS","REGION","DEP_INC_PCT_H2","MD_INC_WDRAW_2YR_TRANS_YR4_RT","IND_COMP_4YR_TRANS_YR4_RT","SD_EARN_WNE_P10","FEMALE_WDRAW_4YR_TRANS_YR6_RT","LO_INC_COMP_2YR_TRANS_YR3_RT","NOLOAN_COMP_ORIG_YR4_RT","OPENADMP","PELL_COMP_4YR_TRANS_YR3_RT","DEATH_YR2_RT","NOLOAN_UNKN_ORIG_YR2_RT","NOT1STGEN_WDRAW_ORIG_YR6_RT","HI_INC_YR8_N","CUML_DEBT_P90","C100_L4"
"4446","Shear Ego International School of Hair Design","Rochester","NY","14617",3,"NULL","NULL","NULL","NULL","107",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"4447","Remington College-Memphis Campus","Memphis","TN","38132",2,"NULL","NULL","16694","16694","697",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4448","Fayette Institute of Technology","Oak Hill","WV","25901",1,"NULL","NULL","NULL","NULL","40",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9167"
"4449","Professional Beauty School","Yakima","WA","98902",3,"NULL","NULL","NULL","NULL","19",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9444"
"4450","Capella University","Minneapolis","MN","55402-3389",3,"NULL","NULL","14250","14250","9193",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4451","College of Menominee Nation","Keshena","WI","54135-1179",2,"NULL","NULL","6200","6200","213",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4452","Leech Lake Tribal College","Cass Lake","MN","56633",1,"NULL","NULL","4198","4198","157",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0779"
"4453","Spartan College of Aeronautics & Technology","Inglewood","CA","90301-2904",3,"NULL","NULL","NULL","NULL","471",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2907"
"4454","Stone Academy-Waterbury","Waterbury","CT","6705",3,"NULL","NULL","NULL","NULL","162",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5149"
"4455","East San Gabriel Valley Regional Occupational Program","West Covina","CA","91790",1,"NULL","NULL","NULL","NULL","118",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7826"
"4456","Yukon Beauty College Inc","Yukon","OK","73099",3,"NULL","NULL","NULL","NULL","18",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7576"
"4457","United Education Institute-Morrow","Morrow","GA","30260-2941",3,"NULL","NULL","NULL","NULL","517",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5225"
"4458","Toni & Guy Hairdressing Academy-Atlanta","Marietta","GA","30062",3,"NULL","NULL","NULL","NULL","87",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0588"
"4459","Mitchell's Hair Styling Academy-Raleigh","Raleigh","NC","27606",3,"NULL","NULL","NULL","NULL","43",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9459"
"4460","Artistic Academy of Hair Design","Morris Plains","NJ","7950",3,"NULL","NULL","NULL","NULL","131",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1136"
"4461","Motoring Technical Training Institute","Seekonk","MA","2771",3,"0.901","NULL","NULL","NULL","321",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.8856"
"4462","Mech-Tech College","Caguas","PR","00725-0000",3,"NULL","NULL","9042","9042","2448",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6278"
"4463","Baldwin Beauty School-North Austin","Austin","TX","78757-7068",3,"NULL","NULL","NULL","NULL","94",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1087"
"4464","Jean Madeline Aveda Institute","Philadelphia","PA","19147",3,"NULL","NULL","NULL","NULL","268",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3968"
"4465","Pacific College of Oriental Medicine-New York","New York","NY","10038",3,"NULL","NULL","11592","11592","121",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4466","Johnson & Wales University-North Miami","North Miami","FL","33181",2,"0.7831","NULL","31508","31508","1450",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4467","Tricoci University of Beauty Culture-Indianapolis","Indianapolis","IN","46256",3,"NULL","NULL","NULL","NULL","179",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4468","Trine University-Regional/Non-Traditional Campuses","Fort Wayne","IN","46825",2,"NULL","NULL","10832","10832","368",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4469","Pennsylvania Highlands Community College","Johnstown","PA","15904-2949",1,"NULL","NULL","5670","11310","1014",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1266"
"4470","Nevada Career Institute","Las Vegas","NV","89130",3,"NULL","NULL","NULL","NULL","244",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2216"
"4471","Phillips Theological Seminary","Tulsa","OK","74116-5612",2,"NULL","NULL","NULL","NULL","NULL",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4472","Empire Beauty School-Hanover","Hanover","PA","17331",3,"NULL","NULL","NULL","NULL","59",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0299"
"4473","Industrial Management Training Institute","Waterbury","CT","6706",3,"NULL","NULL","NULL","NULL","113",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3832"
"4474","Faris Technical Institute Inc","Nederland","TX","77627-3829",3,"NULL","NULL","NULL","NULL","11",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0556"
"4475","Allen School-Jamaica","Jamaica","NY","11432",3,"NULL","NULL","NULL","NULL","54",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7614"
"4476","Premiere Career College","Irwindale","CA","91706-3746",3,"NULL","NULL","NULL","NULL","297",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5957"
"4477","Tennessee Academy of Cosmetology-Stage Road","Memphis","TN","38133",3,"NULL","NULL","NULL","NULL","33",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3099"
"4478","The University of Texas MD Anderson Cancer Center","Houston","TX","77030-4009",1,"NULL","NULL","NULL","NULL","321",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4479","Paul Mitchell the School-Huntsville","Madison","AL","35758",3,"NULL","NULL","NULL","NULL","125",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"4480","Estes Institute of Cosmetology Arts and Science","Visalia","CA","93291",3,"NULL","NULL","NULL","NULL","59",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0857"
"4481","Baldwin Park Adult & Community Education","Baldwin Park","CA","91706-4221",1,"NULL","NULL","NULL","NULL","400",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4919"
"4482","Ventura Adult and Continuing Education","Ventura","CA","93003-0000",1,"NULL","NULL","NULL","NULL","96",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9273"
"4483","Howell Cheney THS/CT Aero Tech School","Hartford","CT","6114",1,"NULL","NULL","NULL","NULL","59",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4484","College of Business and Technology-Miami Campus","Miami","FL","33174",3,"NULL","NULL","13052","13052","5",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4485","City College-Altamonte Springs","Altamonte Springs","FL","32714",2,"NULL","NULL","13695","13695","189",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2857"
"4486","Empire Beauty School-Dunwoody","Dunwoody","GA","30338",3,"NULL","NULL","NULL","NULL","83",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"4487","Cobb Beauty College Inc","Kennesaw","GA","30144-2828",3,"NULL","NULL","NULL","NULL","30",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6"
"4488","Career Center of Southern Illinois","Red Bud","IL","62278",1,"NULL","NULL","NULL","NULL","41",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4489","Crave Beauty Academy","Wichita","KS","67203",3,"NULL","NULL","NULL","NULL","140",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9962"
"4490","Camelot College","Baton Rouge","LA","70805",3,"NULL","NULL","NULL","NULL","166",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.093"
"4491","Hastings Beauty School","Hastings","MN","55033",3,"NULL","NULL","NULL","NULL","31",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6571"
"4492","Kirksville Area Technical Center","Kirksville","MO","63501",1,"0.7273","NULL","NULL","NULL","33",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.75"
"4493","South Central Career Center","West Plains","MO","65775",1,"NULL","NULL","NULL","NULL","69",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8462"
"4494","Saline County Career Center","Marshall","MO","65340-1698",1,"0.8333","NULL","NULL","NULL","24",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.875"
"4495","Warrensburg Area Career Center","Warrensburg","MO","64093",1,"0.8095","NULL","NULL","NULL","23",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4496","Nevada Regional Technical Center","Nevada","MO","64772",1,"0.6667","NULL","NULL","NULL","22",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4497","Cass Career Center","Harrisonville","MO","64701-2024",1,"1","NULL","NULL","NULL","32",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4498","Applied Technology Services","Sunset Hills","MO","63127",1,"0.2656","NULL","NULL","NULL","169",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.8235"
"4499","Central College of Cosmetology","Saint Robert","MO","65584",3,"NULL","NULL","NULL","NULL","73",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"4500","Southeast Missouri Hospital College of Nursing and Health Sciences","Cape Girardeau","MO","63703-4507",2,"0.7647","1105","17580","17580","204",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4501","Messenger College","Bedford","TX","76021-4202",2,"0.7857","NULL","9120","9120","51",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4502","Tennessee Academy of Cosmetology-Shelby Drive","Memphis","TN","38125",3,"NULL","NULL","NULL","NULL","45",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3443"
"4503","Durham Beauty Academy","Durham","NC","27707",3,"NULL","NULL","NULL","NULL","141",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"4504","Union County Vocational Technical School","Scotch Plains","NJ","7076",1,"NULL","NULL","NULL","NULL","84",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7872"
"4505","Prism Career Institute-Philadelphia","Philadelphia","PA","19152",3,"NULL","NULL","NULL","NULL","83",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5542"
"4506","Clinton Essex Warren Washington BOCES","Plattsburgh","NY","12901-0455",1,"0.3277","NULL","NULL","NULL","70",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.8065"
"4507","Jefferson Lewis BOCES-Practical Nursing Program","Watertown","NY","13601-9509",1,"0.88","NULL","11792","11792","77",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.6364"
"4508","Veeb Nassau County School of Practical Nursing","Hicksville","NY","11801-4302",1,"0.8","NULL","16725","16725","195",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4509","Cattaraugus Allegany BOCES-Practical Nursing Program","Olean","NY","14760",1,"NULL","NULL","NULL","NULL","68",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4510","Orange Ulster BOCES-Practical Nursing Program","Goshen","NY","10924",1,"1","NULL","NULL","NULL","84",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.7778"
"4511","Wayne Finger Lakes BOCES-Practical Nursing Program","Newark","NY","14513-1863",1,"NULL","NULL","NULL","NULL","228",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8095"
"4512","Broome Delaware Tioga BOCES-Practical Nursing Program","Binghamton","NY","13905",1,"0.5714","NULL","NULL","NULL","66",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.5"
"4513","Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program","Hudson Falls","NY","12839",1,"1","NULL","NULL","NULL","35",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4514","Albany BOCES-Adult Practical Nursing Program","Albany","NY","12205",1,"NULL","NULL","NULL","NULL","142",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.76"
"4515","Ulster BOCES School of Practical Nursing","Lake Katrine","NY","12449",1,"0.4643","NULL","NULL","NULL","65",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.5652"
"4516","Eastern Suffolk BOCES","Brentwood","NY","11717",1,"0.8404","NULL","NULL","NULL","261",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.8219"
"4517","Rockland County BOCES-Practical Nursing Program","West Nyack","NY","10994",1,"NULL","NULL","NULL","NULL","47",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4615"
"4518","New York College of Health Professions","Syosset","NY","11791-4413",2,"NULL","NULL","14226","14226","380",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4519","Charles Stuart School of Diamond Setting","Brooklyn","NY","11229",3,"NULL","NULL","NULL","NULL","54",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9565"
"4520","Penta County Joint Vocational School","Perrysburg","OH","43551-4594",1,"NULL","NULL","NULL","NULL","47",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9677"
"4521","Career and Technology Education Centers of Licking County","Newark","OH","43055-3399",1,"NULL","NULL","NULL","NULL","251",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9167"
"4522","Northern Career Institute","Eastlake","OH","44094",1,"NULL","NULL","12620","12620","102",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9355"
"4523","Washington County Career Center-Adult Technical Training","Marietta","OH","45750",1,"NULL","NULL","NULL","NULL","289",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5795"
"4524","Ohio Media School-Cincinnati","Norwood","OH","45212",3,"0.5702","NULL","NULL","NULL","51",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.5673"
"4525","Ohio Technical Center at Vantage Career Center","Van Wert","OH","45891",1,"NULL","NULL","NULL","NULL","37",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8182"
"4526","Indian Capital Technology Center-Muskogee","Muskogee","OK","74403-1889",1,"NULL","NULL","NULL","NULL","732",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9706"
"4527","Western Technology Center","Burns Flat","OK","73624-1469",1,"NULL","NULL","NULL","NULL","203",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.641"
"4528","Mid-America Technology Center","Wayne","OK","73095-0210",1,"NULL","NULL","NULL","NULL","873",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5778"
"4529","Northeast Technology Center-Pryor","Pryor","OK","74361",1,"NULL","NULL","NULL","NULL","173",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7778"
"4530","Eastern Oklahoma County Technology Center","Choctaw","OK","73020-9017",1,"NULL","NULL","NULL","NULL","114",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4464"
"4531","Wes Watkins Technology Center","Wetumka","OK","74883-6155",1,"NULL","NULL","NULL","NULL","47",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5"
"4532","York County School of Technology-Adult & Continuing Education","York","PA","17402-4696",1,"NULL","NULL","NULL","NULL","104",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1786"
"4533","Chester County Intermediate Unit","Downingtown","PA","19335",1,"0.5532","NULL","NULL","NULL","104",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.5833"
"4534","Jefferson County Dubois Area Vocational Technical Practical Nursing Program","Reynoldsville","PA","15851",1,"0.7895","NULL","NULL","NULL","24",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.4286"
"4535","Greater Johnstown Career and Technology Center","Johnstown","PA","15904-2998",1,"NULL","NULL","NULL","NULL","189",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8834"
"4536","Mifflin County Academy of Science and Technology","Lewistown","PA","17044-1697",1,"0.7667","NULL","NULL","NULL","39",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4537","Lenape Technical School Practical Nursing Program","Ford City","PA","16226",1,"NULL","NULL","NULL","NULL","168",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7439"
"4538","Venango County Area Vocational Technical School","Oil City","PA","16301",1,"0.625","NULL","NULL","NULL","61",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.4667"
"4539","Lancaster County Career and Technology Center","Willow Street","PA","17584",1,"NULL","NULL","NULL","NULL","422",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6842"
"4540","Lebanon County Area Vocational Technical School","Lebanon","PA","17042",1,"NULL","NULL","NULL","NULL","165",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5851"
"4541","Indiana County Technology Center","Indiana","PA","15701-1465",1,"NULL","NULL","NULL","NULL","95",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2222"
"4542","Northern Tier Career Center","Towanda","PA","18848-9731",1,"0.7619","NULL","NULL","NULL","41",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.6667"
"4543","Clarion County Career Center Practical Nursing Program","Shippenville","PA","16254-8975",1,"0.7714","NULL","NULL","NULL","63",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4544","Hazleton Area Career Center","Hazle TWP.","PA","18202",1,"NULL","NULL","NULL","NULL","19",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4545","All-State Career School-Pittsburgh","West Mifflin","PA","15122",3,"NULL","NULL","NULL","NULL","189",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1456"
"4546","Colegio Tecnologico y Comercial de Puerto Rico","Aguada","PR","00602-0960",3,"NULL","NULL","NULL","NULL","61",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2"
"4547","Quality Technical and Beauty College","Bayamon","PR","961",3,"NULL","NULL","NULL","NULL","98",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0769"
"4548","D'Mart Institute","Barranquitas","PR","794",3,"NULL","NULL","NULL","NULL","495",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5075"
"4549","Automeca Technical College-Aguadilla","Aguadilla","PR","605",3,"NULL","NULL","7441","7441","211",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6066"
"4550","Fortis Institute-Cookeville","Cookeville","TN","38501-4305",3,"NULL","NULL","14752","14752","175",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4779"
"4551","North Central Institute","Clarksville","TN","37042",3,"NULL","NULL","NULL","NULL","93",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4211"
"4552","Pipo Academy of Hair Design","El Paso","TX","79903",3,"NULL","NULL","NULL","NULL","22",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3548"
"4553","Tint School of Makeup and Cosmetology-Dallas","Grand Prairie","TX","75051",3,"NULL","NULL","NULL","NULL","123",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0638"
"4554","United Technical Center","Clarksburg","WV","26301-6313",1,"1","NULL","3500","3500","25",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.6"
"4555","Charles H McCann Technical School","North Adams","MA","01247-3999",1,"NULL","NULL","NULL","NULL","33",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.92"
"4556","Ailano School of Cosmetology","Brockton","MA","02301-5734",3,"NULL","NULL","NULL","NULL","19",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0769"
"4557","Central California School of Continuing Education","San Luis Obispo","CA","93401",3,"NULL","NULL","9895","9895","267",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8712"
"4558","Mercy Hospital School of Practical Nursing-Plantation General Hospital","Miami","FL","33133",3,"0.6667","NULL","NULL","NULL","90",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","1"
"4559","Marion Technical College","Ocala","FL","34471-3172",1,"NULL","NULL","NULL","NULL","413",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5487"
"4560","Rivertown School of Beauty Barber Skin Care and Nails","Columbus","GA","31904",3,"NULL","NULL","NULL","NULL","130",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3083"
"4561","Atlanta Institute of Music and Media","Duluth","GA","30096",3,"NULL","NULL","NULL","NULL","147",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3286"
"4562","Illinois Media School","Lombard","IL","60148",3,"NULL","NULL","NULL","NULL","169",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8182"
"4563","St Louis Hair Academy","Saint Louis","MO","63107-1737",3,"NULL","NULL","NULL","NULL","9",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
